Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
61952,2025/01/13 12:45:09 AM,2840552.75,2824403.25,2708990.50,8373946.50
61953,2025/01/13 01:00:09 AM,2840598.00,2824447.75,2709034.50,8374080.50
61954,2025/01/13 01:15:10 AM,2840644.25,2824493.25,2709078.75,8374216.00
61955,2025/01/13 01:30:10 AM,2840692.25,2824541.00,2709125.50,8374358.50
61956,2025/01/13 01:45:11 AM,2840736.50,2824585.50,2709168.00,8374490.00
61957,2025/01/13 02:00:11 AM,2840781.00,2824628.75,2709210.75,8374621.00
61958,2025/01/13 02:15:12 AM,2840832.75,2824680.00,2709260.75,8374774.00
61959,2025/01/13 02:30:12 AM,2840882.25,2824729.00,2709308.25,8374919.00
61960,2025/01/13 02:45:13 AM,2840929.50,2824775.00,2709353.50,8375058.00
61961,2025/01/13 03:00:13 AM,2840977.75,2824822.75,2709400.25,8375201.00
61962,2025/01/13 03:15:14 AM,2841023.00,2824867.75,2709443.50,8375334.50
61963,2025/01/13 03:30:14 AM,2841070.50,2824914.25,2709487.75,8375473.00
61964,2025/01/13 03:45:15 AM,2841120.00,2824963.25,2709535.25,8375618.00
61965,2025/01/13 04:00:15 AM,2841164.50,2825007.00,2709577.75,8375749.00
61966,2025/01/13 04:15:16 AM,2841212.00,2825054.75,2709623.25,8375890.00
61967,2025/01/13 04:30:16 AM,2841261.25,2825104.00,2709670.75,8376036.00
61968,2025/01/13 04:45:17 AM,2841302.00,2825144.00,2709709.25,8376155.00
61969,2025/01/13 05:00:17 AM,2841342.50,2825183.75,2709748.00,8376274.00
61970,2025/01/13 05:15:18 AM,2841386.75,2825227.50,2709790.50,8376404.50
61971,2025/01/13 05:30:18 AM,2841426.75,2825267.25,2709828.50,8376522.50
61972,2025/01/13 05:45:19 AM,2841466.75,2825307.50,2709867.00,8376641.00
61973,2025/01/13 06:00:19 AM,2841508.00,2825348.75,2709906.75,8376764.00
61974,2025/01/13 06:15:19 AM,2841549.25,2825389.75,2709946.50,8376885.50
61975,2025/01/13 06:30:20 AM,2841591.00,2825431.00,2709987.25,8377009.00
61976,2025/01/13 06:45:20 AM,2841632.25,2825471.50,2710026.50,8377130.50
61977,2025/01/13 07:00:21 AM,2841675.00,2825514.00,2710067.50,8377256.50
61978,2025/01/13 07:15:21 AM,2841718.75,2825557.00,2710109.50,8377385.50
61979,2025/01/13 07:30:22 AM,2841763.25,2825601.75,2710152.75,8377518.00
61980,2025/01/13 07:45:22 AM,2841808.50,2825647.25,2710196.00,8377652.00
61981,2025/01/13 08:00:23 AM,2841854.00,2825694.00,2710240.25,8377788.00
61982,2025/01/13 08:15:23 AM,2841899.50,2825740.25,2710284.00,8377924.00
61983,2025/01/13 08:30:24 AM,2841944.00,2825785.00,2710327.00,8378056.00
61984,2025/01/13 08:45:24 AM,2841987.25,2825827.50,2710368.00,8378183.00
61985,2025/01/13 09:00:25 AM,2842030.25,2825870.50,2710409.25,8378310.00
61986,2025/01/13 09:15:25 AM,2842077.75,2825918.00,2710453.75,8378450.00
61987,2025/01/13 09:30:26 AM,2842123.50,2825963.25,2710496.75,8378584.00
61988,2025/01/13 09:45:26 AM,2842167.25,2826006.75,2710537.75,8378712.00
61989,2025/01/13 10:00:27 AM,2842212.00,2826051.75,2710581.25,8378845.00
61990,2025/01/13 10:15:27 AM,2842259.75,2826100.00,2710627.25,8378987.00
61991,2025/01/13 10:30:28 AM,2842303.00,2826143.25,2710669.25,8379115.00
61992,2025/01/13 10:45:28 AM,2842347.25,2826187.50,2710712.00,8379247.00
61993,2025/01/13 11:00:29 AM,2842389.25,2826229.75,2710752.50,8379371.50
61994,2025/01/13 11:15:29 AM,2842431.00,2826271.25,2710792.75,8379495.00
61995,2025/01/13 11:30:30 AM,2842474.75,2826315.25,2710835.00,8379625.00
61996,2025/01/13 11:45:30 AM,2842517.50,2826358.75,2710876.25,8379752.00
61997,2025/01/13 12:00:30 PM,2842563.25,2826405.00,2710920.50,8379888.50
61998,2025/01/13 12:15:31 PM,2842610.00,2826452.50,2710965.50,8380028.00
61999,2025/01/13 12:30:31 PM,2842652.25,2826495.25,2711006.00,8380153.50
62000,2025/01/13 12:45:32 PM,2842694.50,2826537.75,2711046.50,8380278.50
62001,2025/01/13 01:00:32 PM,2842735.25,2826578.75,2711085.25,8380399.00
62002,2025/01/13 01:15:33 PM,2842774.25,2826618.25,2711122.50,8380515.00
62003,2025/01/13 01:30:33 PM,2842816.25,2826660.75,2711162.75,8380640.00
62004,2025/01/13 01:45:34 PM,2842859.00,2826704.00,2711204.00,8380767.00
62005,2025/01/13 02:00:34 PM,2842898.75,2826743.75,2711242.00,8380884.50
62006,2025/01/13 02:15:35 PM,2842938.00,2826783.00,2711279.25,8381000.00
62007,2025/01/13 02:30:35 PM,2842980.00,2826825.00,2711319.50,8381124.50
62008,2025/01/13 02:45:36 PM,2843020.25,2826865.50,2711358.00,8381244.00
62009,2025/01/13 03:00:36 PM,2843064.00,2826909.50,2711400.00,8381373.50
62010,2025/01/13 03:15:37 PM,2843110.25,2826956.25,2711444.75,8381511.00
62011,2025/01/13 03:30:37 PM,2843155.25,2827001.50,2711488.00,8381645.00
62012,2025/01/13 03:45:38 PM,2843200.25,2827047.25,2711531.50,8381779.00
62013,2025/01/13 04:00:38 PM,2843248.25,2827096.00,2711578.50,8381922.50
62014,2025/01/13 04:15:39 PM,2843297.50,2827146.25,2711626.25,8382070.00
62015,2025/01/13 04:30:39 PM,2843345.25,2827194.75,2711672.50,8382212.50
62016,2025/01/13 04:45:40 PM,2843392.50,2827243.00,2711718.50,8382354.00
62017,2025/01/13 05:00:40 PM,2843441.75,2827293.00,2711766.25,8382501.00
62018,2025/01/13 05:15:41 PM,2843493.50,2827345.50,2711816.75,8382656.00
62019,2025/01/13 05:30:41 PM,2843538.00,2827390.50,2711860.25,8382789.00
