Time,Description,IP,Slave,Register,Register_Name,Value
2025-07-11 08:45:19,PM C1L1 Substation,10.129.7.21,3,1201,Exported Energy CH1 (MSW),7.517963240388781e-06
2025-07-11 08:50:19,PM C1L1 Substation,10.129.7.21,3,1201,Exported Energy CH1 (MSW),7.529657523264177e-06
2025-07-11 08:55:19,PM C1L1 Substation,10.129.7.21,3,1201,Exported Energy CH1 (MSW),7.529713457188336e-06
2025-07-11 09:00:20,PM C1L1 Substation,10.129.7.21,3,1201,Exported Energy CH1 (MSW),7.529768936365144e-06
2025-07-11 09:05:20,PM C1L1 Substation,10.129.7.21,3,1201,Exported Energy CH1 (MSW),7.529824870289303e-06
2025-07-11 09:10:20,PM C1L2 Substation,10.129.7.22,4,1201,Exported Energy CH1 (MSW),1.0529834980843589e-05
2025-07-11 09:15:20,PM C1L2 Substation,10.129.7.22,4,1201,Exported Energy CH1 (MSW),1.0514195309951901e-05
2025-07-11 09:20:20,PM C1L2 Substation,10.129.7.22,4,1201,Exported Energy CH1 (MSW),1.0514282621443272e-05
2025-07-11 09:25:20,PM C1L2 Substation,10.129.7.22,4,1201,Exported Energy CH1 (MSW),1.0514369932934642e-05
2025-07-11 09:30:20,PM C1L2 Substation,10.129.7.22,4,1201,Exported Energy CH1 (MSW),1.051445633493131e-05
2025-07-11 09:35:20,PM C2P Substation,10.129.7.25,5,1201,Exported Energy CH1 (MSW),2.1150522232055664
2025-07-11 09:40:20,PM C2P Substation,10.129.7.25,5,1201,Exported Energy CH1 (MSW),2.1223647594451904
2025-07-11 09:45:20,PM C2P Substation,10.129.7.25,5,1201,Exported Energy CH1 (MSW),2.1223857402801514
2025-07-11 09:50:20,PM C2P Substation,10.129.7.25,5,1201,Exported Energy CH1 (MSW),2.1224069595336914
