Timestamp,IP,Register,Error
2025-07-02 15:46:14,10.129.7.8,1165,Read Failed
2025-07-02 15:46:17,10.129.7.8,1167,Read Failed
2025-07-02 15:46:20,10.129.7.8,1191,Read Failed
2025-07-02 15:46:23,10.129.7.8,1193,Read Failed
2025-07-02 15:46:26,10.129.7.8,1195,Read Failed
2025-07-02 15:46:29,10.129.7.8,1197,Read Failed
2025-07-02 15:47:32,10.129.7.8,1165,Read Failed
2025-07-02 15:47:35,10.129.7.8,1167,Read Failed
2025-07-02 15:47:38,10.129.7.8,1191,Read Failed
2025-07-02 15:47:41,10.129.7.8,1193,Read Failed
2025-07-02 15:47:44,10.129.7.8,1195,Read Failed
2025-07-02 15:47:47,10.129.7.8,1197,Read Failed
2025-07-02 15:58:53,10.129.7.8,1165,Read Failed
2025-07-02 15:58:56,10.129.7.8,1167,Read Failed
2025-07-02 15:58:59,10.129.7.8,1191,Read Failed
2025-07-02 15:59:02,10.129.7.8,1193,Read Failed
2025-07-02 15:59:05,10.129.7.8,1195,Read Failed
2025-07-02 15:59:09,10.129.7.8,1197,Read Failed
2025-07-02 16:14:15,10.129.7.18,1165,Read Failed
2025-07-02 16:14:15,10.129.7.14,1165,Read Failed
2025-07-02 16:14:15,10.129.7.9,1165,Read Failed
2025-07-02 16:14:18,10.129.7.18,1167,Read Failed
2025-07-02 16:14:18,10.129.7.14,1167,Read Failed
2025-07-02 16:14:18,10.129.7.9,1167,Read Failed
2025-07-02 16:14:21,10.129.7.18,1191,Read Failed
2025-07-02 16:14:21,10.129.7.9,1191,Read Failed
2025-07-02 16:14:21,10.129.7.14,1191,Read Failed
2025-07-02 16:14:24,10.129.7.18,1193,Read Failed
2025-07-02 16:14:24,10.129.7.9,1193,Read Failed
2025-07-02 16:14:24,10.129.7.14,1193,Read Failed
2025-07-02 16:14:27,10.129.7.18,1195,Read Failed
2025-07-02 16:14:27,10.129.7.9,1195,Read Failed
2025-07-02 16:14:27,10.129.7.14,1195,Read Failed
2025-07-02 16:14:30,10.129.7.18,1197,Read Failed
2025-07-02 16:14:30,10.129.7.9,1197,Read Failed
2025-07-02 16:14:30,10.129.7.14,1197,Read Failed
2025-07-02 16:15:33,10.129.7.18,1165,Read Failed
2025-07-02 16:15:33,10.129.7.9,1165,Read Failed
2025-07-02 16:15:33,10.129.7.14,1165,Read Failed
2025-07-02 16:15:36,10.129.7.18,1167,Read Failed
2025-07-02 16:15:36,10.129.7.9,1167,Read Failed
2025-07-02 16:15:36,10.129.7.14,1167,Read Failed
2025-07-02 16:15:39,10.129.7.18,1191,Read Failed
2025-07-02 16:15:39,10.129.7.9,1191,Read Failed
2025-07-02 16:15:39,10.129.7.14,1191,Read Failed
2025-07-02 16:15:42,10.129.7.18,1193,Read Failed
2025-07-02 16:15:42,10.129.7.9,1193,Read Failed
2025-07-02 16:15:42,10.129.7.14,1193,Read Failed
2025-07-02 16:15:45,10.129.7.18,1195,Read Failed
2025-07-02 16:15:45,10.129.7.9,1195,Read Failed
2025-07-02 16:15:45,10.129.7.14,1195,Read Failed
2025-07-02 16:15:48,10.129.7.18,1197,Read Failed
2025-07-02 16:15:48,10.129.7.9,1197,Read Failed
2025-07-02 16:15:48,10.129.7.14,1197,Read Failed
2025-07-02 16:16:13,10.129.7.8,1165,Read Failed
2025-07-02 16:16:16,10.129.7.8,1167,Read Failed
2025-07-02 16:16:19,10.129.7.8,1191,Read Failed
2025-07-02 16:16:22,10.129.7.8,1193,Read Failed
2025-07-02 16:16:25,10.129.7.8,1195,Read Failed
2025-07-02 16:16:28,10.129.7.8,1197,Read Failed
2025-07-02 16:16:51,10.129.7.18,1165,Read Failed
2025-07-02 16:16:51,10.129.7.9,1165,Read Failed
2025-07-02 16:16:51,10.129.7.14,1165,Read Failed
2025-07-02 16:16:54,10.129.7.18,1167,Read Failed
2025-07-02 16:16:54,10.129.7.9,1167,Read Failed
2025-07-02 16:16:54,10.129.7.14,1167,Read Failed
2025-07-02 16:16:57,10.129.7.18,1191,Read Failed
2025-07-02 16:16:57,10.129.7.14,1191,Read Failed
2025-07-02 16:16:57,10.129.7.9,1191,Read Failed
2025-07-02 16:17:00,10.129.7.18,1193,Read Failed
2025-07-02 16:17:01,10.129.7.14,1193,Read Failed
2025-07-02 16:17:01,10.129.7.9,1193,Read Failed
2025-07-02 16:17:03,10.129.7.18,1195,Read Failed
2025-07-02 16:17:04,10.129.7.14,1195,Read Failed
2025-07-02 16:17:04,10.129.7.9,1195,Read Failed
2025-07-02 16:17:06,10.129.7.18,1197,Read Failed
2025-07-02 16:17:07,10.129.7.14,1197,Read Failed
2025-07-02 16:17:07,10.129.7.9,1197,Read Failed
2025-07-02 16:17:31,10.129.7.8,1165,Read Failed
2025-07-02 16:17:34,10.129.7.8,1167,Read Failed
2025-07-02 16:17:37,10.129.7.8,1191,Read Failed
2025-07-02 16:17:40,10.129.7.8,1193,Read Failed
2025-07-02 16:17:43,10.129.7.8,1195,Read Failed
2025-07-02 16:17:46,10.129.7.8,1197,Read Failed
2025-07-02 16:18:09,10.129.7.18,1165,Read Failed
2025-07-02 16:18:10,10.129.7.9,1165,Read Failed
2025-07-02 16:18:10,10.129.7.14,1165,Read Failed
2025-07-02 16:18:12,10.129.7.18,1167,Read Failed
2025-07-02 16:18:13,10.129.7.9,1167,Read Failed
2025-07-02 16:18:13,10.129.7.14,1167,Read Failed
2025-07-02 16:18:15,10.129.7.18,1191,Read Failed
2025-07-02 16:18:16,10.129.7.9,1191,Read Failed
2025-07-02 16:18:16,10.129.7.14,1191,Read Failed
2025-07-02 16:18:18,10.129.7.18,1193,Read Failed
2025-07-02 16:18:19,10.129.7.9,1193,Read Failed
2025-07-02 16:18:19,10.129.7.14,1193,Read Failed
2025-07-02 16:18:21,10.129.7.18,1195,Read Failed
2025-07-02 16:18:22,10.129.7.9,1195,Read Failed
2025-07-02 16:18:22,10.129.7.14,1195,Read Failed
2025-07-02 16:18:24,10.129.7.18,1197,Read Failed
2025-07-02 16:18:25,10.129.7.9,1197,Read Failed
2025-07-02 16:18:25,10.129.7.14,1197,Read Failed
2025-07-02 16:18:49,10.129.7.8,1165,Read Failed
2025-07-02 16:18:52,10.129.7.8,1167,Read Failed
2025-07-02 16:18:55,10.129.7.8,1191,Read Failed
2025-07-02 16:18:58,10.129.7.8,1193,Read Failed
2025-07-02 16:19:01,10.129.7.8,1195,Read Failed
2025-07-02 16:19:04,10.129.7.8,1197,Read Failed
2025-07-02 16:19:27,10.129.7.18,1165,Read Failed
2025-07-02 16:19:28,10.129.7.9,1165,Read Failed
2025-07-02 16:19:28,10.129.7.14,1165,Read Failed
2025-07-02 16:19:30,10.129.7.18,1167,Read Failed
2025-07-02 16:19:31,10.129.7.9,1167,Read Failed
2025-07-02 16:19:31,10.129.7.14,1167,Read Failed
2025-07-02 16:19:33,10.129.7.18,1191,Read Failed
2025-07-02 16:19:34,10.129.7.9,1191,Read Failed
2025-07-02 16:19:34,10.129.7.14,1191,Read Failed
2025-07-02 16:19:36,10.129.7.18,1193,Read Failed
2025-07-02 16:19:37,10.129.7.9,1193,Read Failed
2025-07-02 16:19:37,10.129.7.14,1193,Read Failed
2025-07-02 16:19:40,10.129.7.18,1195,Read Failed
2025-07-02 16:19:40,10.129.7.14,1195,Read Failed
2025-07-02 16:19:40,10.129.7.9,1195,Read Failed
2025-07-02 16:19:43,10.129.7.18,1197,Read Failed
2025-07-02 16:19:43,10.129.7.14,1197,Read Failed
2025-07-02 16:19:43,10.129.7.9,1197,Read Failed
2025-07-02 16:34:48,10.129.7.6,1165,Read Failed
2025-07-02 16:34:51,10.129.7.6,1167,Read Failed
2025-07-02 16:34:54,10.129.7.6,1191,Read Failed
2025-07-02 16:46:02,10.129.7.18,1165,Read Failed
2025-07-02 16:46:02,10.129.7.8,1165,Read Failed
2025-07-02 16:46:02,10.129.7.23,1165,Read Failed
2025-07-02 16:46:02,10.129.7.7,1165,Read Failed
2025-07-02 16:46:05,10.129.7.18,1167,Read Failed
2025-07-02 16:46:05,10.129.7.8,1167,Read Failed
2025-07-02 16:46:05,10.129.7.23,1167,Read Failed
2025-07-02 16:46:05,10.129.7.7,1167,Read Failed
2025-07-02 16:46:08,10.129.7.18,1191,Read Failed
2025-07-02 16:46:08,10.129.7.8,1191,Read Failed
2025-07-02 16:46:08,10.129.7.23,1191,Read Failed
2025-07-02 16:46:08,10.129.7.7,1191,Read Failed
2025-07-02 16:46:11,10.129.7.18,1193,Read Failed
2025-07-02 16:46:11,10.129.7.23,1193,Read Failed
2025-07-02 16:46:11,10.129.7.7,1193,Read Failed
2025-07-02 16:46:11,10.129.7.8,1193,Read Failed
2025-07-02 16:46:14,10.129.7.18,1195,Read Failed
2025-07-02 16:46:14,10.129.7.23,1195,Read Failed
2025-07-02 16:46:14,10.129.7.7,1195,Read Failed
2025-07-02 16:46:14,10.129.7.8,1195,Read Failed
2025-07-02 16:46:17,10.129.7.18,1197,Read Failed
2025-07-02 16:46:17,10.129.7.23,1197,Read Failed
2025-07-02 16:46:17,10.129.7.8,1197,Read Failed
2025-07-02 16:46:17,10.129.7.7,1197,Read Failed
2025-07-02 16:47:20,10.129.7.18,1165,Read Failed
2025-07-02 16:47:20,10.129.7.23,1165,Read Failed
2025-07-02 16:47:20,10.129.7.8,1165,Read Failed
2025-07-02 16:47:20,10.129.7.7,1165,Read Failed
2025-07-02 16:47:23,10.129.7.18,1167,Read Failed
2025-07-02 16:47:23,10.129.7.8,1167,Read Failed
2025-07-02 16:47:23,10.129.7.23,1167,Read Failed
2025-07-02 16:47:23,10.129.7.7,1167,Read Failed
2025-07-02 16:47:26,10.129.7.18,1191,Read Failed
2025-07-02 16:47:26,10.129.7.8,1191,Read Failed
2025-07-02 16:47:26,10.129.7.23,1191,Read Failed
2025-07-02 16:47:26,10.129.7.7,1191,Read Failed
2025-07-02 16:47:29,10.129.7.18,1193,Read Failed
2025-07-02 16:47:29,10.129.7.8,1193,Read Failed
2025-07-02 16:47:29,10.129.7.23,1193,Read Failed
2025-07-02 16:47:29,10.129.7.7,1193,Read Failed
2025-07-02 16:47:32,10.129.7.18,1195,Read Failed
2025-07-02 16:47:32,10.129.7.23,1195,Read Failed
2025-07-02 16:47:32,10.129.7.7,1195,Read Failed
2025-07-02 16:47:32,10.129.7.8,1195,Read Failed
2025-07-02 16:47:35,10.129.7.18,1197,Read Failed
2025-07-02 16:47:35,10.129.7.23,1197,Read Failed
2025-07-02 16:47:35,10.129.7.7,1197,Read Failed
2025-07-02 16:47:35,10.129.7.8,1197,Read Failed
2025-07-02 16:48:38,10.129.7.18,1165,Read Failed
2025-07-02 16:48:38,10.129.7.23,1165,Read Failed
2025-07-02 16:48:38,10.129.7.7,1165,Read Failed
2025-07-02 16:48:38,10.129.7.8,1165,Read Failed
2025-07-02 16:48:41,10.129.7.18,1167,Read Failed
2025-07-02 16:48:41,10.129.7.23,1167,Read Failed
2025-07-02 16:48:41,10.129.7.7,1167,Read Failed
2025-07-02 16:48:41,10.129.7.8,1167,Read Failed
2025-07-02 16:48:44,10.129.7.18,1191,Read Failed
2025-07-02 16:48:44,10.129.7.7,1191,Read Failed
2025-07-02 16:48:44,10.129.7.23,1191,Read Failed
2025-07-02 16:48:44,10.129.7.8,1191,Read Failed
2025-07-02 16:48:47,10.129.7.18,1193,Read Failed
2025-07-02 16:48:47,10.129.7.7,1193,Read Failed
2025-07-02 16:48:47,10.129.7.23,1193,Read Failed
2025-07-02 16:48:47,10.129.7.8,1193,Read Failed
2025-07-02 16:48:50,10.129.7.18,1195,Read Failed
2025-07-02 16:48:50,10.129.7.7,1195,Read Failed
2025-07-02 16:48:50,10.129.7.23,1195,Read Failed
2025-07-02 16:48:50,10.129.7.8,1195,Read Failed
2025-07-02 16:48:53,10.129.7.18,1197,Read Failed
2025-07-02 16:48:53,10.129.7.23,1197,Read Failed
2025-07-02 16:48:53,10.129.7.7,1197,Read Failed
2025-07-02 16:48:53,10.129.7.8,1197,Read Failed
2025-07-02 16:49:56,10.129.7.18,1165,Read Failed
2025-07-02 16:49:57,10.129.7.7,1165,Read Failed
2025-07-02 16:49:57,10.129.7.23,1165,Read Failed
2025-07-02 16:49:59,10.129.7.18,1167,Read Failed
2025-07-02 16:50:00,10.129.7.7,1167,Read Failed
2025-07-02 16:50:00,10.129.7.23,1167,Read Failed
2025-07-02 16:50:02,10.129.7.18,1191,Read Failed
2025-07-02 16:50:03,10.129.7.23,1191,Read Failed
2025-07-02 16:50:03,10.129.7.7,1191,Read Failed
2025-07-02 16:50:05,10.129.7.18,1193,Read Failed
2025-07-02 16:50:06,10.129.7.7,1193,Read Failed
2025-07-02 16:50:06,10.129.7.23,1193,Read Failed
2025-07-02 16:50:08,10.129.7.18,1195,Read Failed
2025-07-02 16:50:09,10.129.7.7,1195,Read Failed
2025-07-02 16:50:09,10.129.7.23,1195,Read Failed
2025-07-02 16:50:11,10.129.7.18,1197,Read Failed
2025-07-02 16:50:12,10.129.7.7,1197,Read Failed
2025-07-02 16:50:12,10.129.7.23,1197,Read Failed
2025-07-02 16:51:14,10.129.7.18,1165,Read Failed
2025-07-02 16:51:15,10.129.7.23,1165,Read Failed
2025-07-02 16:51:15,10.129.7.7,1165,Read Failed
2025-07-02 16:51:17,10.129.7.18,1167,Read Failed
2025-07-02 16:51:18,10.129.7.23,1167,Read Failed
2025-07-02 16:51:18,10.129.7.7,1167,Read Failed
2025-07-02 16:51:20,10.129.7.18,1191,Read Failed
2025-07-02 16:51:21,10.129.7.23,1191,Read Failed
2025-07-02 16:51:21,10.129.7.7,1191,Read Failed
2025-07-02 16:51:23,10.129.7.18,1193,Read Failed
2025-07-02 16:51:24,10.129.7.23,1193,Read Failed
2025-07-02 16:51:24,10.129.7.7,1193,Read Failed
2025-07-02 16:51:26,10.129.7.18,1195,Read Failed
2025-07-02 16:51:27,10.129.7.23,1195,Read Failed
2025-07-02 16:51:27,10.129.7.7,1195,Read Failed
2025-07-02 16:51:29,10.129.7.18,1197,Read Failed
2025-07-02 16:51:30,10.129.7.23,1197,Read Failed
2025-07-02 16:51:30,10.129.7.7,1197,Read Failed
2025-07-02 17:04:35,10.129.7.6,1165,Read Failed
2025-07-02 17:04:38,10.129.7.6,1167,Read Failed
