Time,Description,IP,Slave,Register,Register_Name,Value
2025-07-11 08:45:19,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),36964.5703125
2025-07-11 08:50:19,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),36964.921875
2025-07-11 08:55:20,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),36965.2734375
2025-07-11 09:00:20,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),36965.62109375
2025-07-11 09:05:20,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),36965.9609375
2025-07-11 09:10:20,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102679.3359375
2025-07-11 09:15:20,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102679.7734375
2025-07-11 09:20:20,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102680.2109375
2025-07-11 09:25:20,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102680.640625
2025-07-11 09:30:20,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102681.0859375
2025-07-11 09:35:20,PM C2P Substation,10.129.7.25,5,1209,Imported Energy CH1 (MSW),70438.0859375
2025-07-11 09:40:20,PM C2P Substation,10.129.7.25,5,1209,Imported Energy CH1 (MSW),70439.0390625
2025-07-11 09:45:20,PM C2P Substation,10.129.7.25,5,1209,Imported Energy CH1 (MSW),70440.0234375
2025-07-11 09:50:20,PM C2P Substation,10.129.7.25,5,1209,Imported Energy CH1 (MSW),70441.015625
