Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh

68096,2038/01/11 09:03:59 PM,91536.75,88000.32,81682.54,261219.59
68097,2038/01/11 09:18:59 PM,91541.20,88004.45,81686.29,261231.94
68098,2038/01/11 09:34:00 PM,91545.61,88008.64,81689.94,261244.19
68099,2038/01/11 09:49:00 PM,91549.97,88012.80,81693.59,261256.36
68100,2038/01/11 10:04:01 PM,91554.37,88016.92,81697.28,261268.56
68101,2038/01/11 10:19:01 PM,91558.78,88021.03,81701.02,261280.84
68102,2038/01/11 10:34:02 PM,91563.18,88025.12,81704.73,261293.05
68103,2038/01/11 10:49:02 PM,91567.55,88029.23,81708.41,261305.19
68104,2038/01/11 11:04:03 PM,91571.87,88033.34,81712.13,261317.34
68105,2038/01/11 11:19:03 PM,91576.27,88037.43,81716.01,261329.69
68106,2038/01/11 11:34:04 PM,91580.73,88041.58,81720.00,261342.31
68107,2038/01/11 11:49:04 PM,91585.33,88045.83,81724.16,261355.31
68108,2038/01/12 12:04:05 AM,91590.16,88050.24,81728.58,261368.98
68109,2038/01/12 12:19:05 AM,91595.05,88054.73,81733.02,261382.80
68110,2038/01/12 12:34:06 AM,91598.83,88058.20,81736.41,261393.44
68111,2038/01/12 12:49:06 AM,91599.31,88058.56,81736.76,261394.62
68112,2038/01/12 01:04:07 AM,91599.37,88058.58,81736.78,261394.73
68113,2038/01/12 01:19:07 AM,91599.44,88058.59,81736.80,261394.83
68114,2038/01/12 01:34:08 AM,91599.50,88058.60,81736.82,261394.91
68115,2038/01/12 01:49:08 AM,91599.58,88058.62,81736.85,261395.06
68116,2038/01/12 02:04:09 AM,91599.64,88058.64,81736.87,261395.16
68117,2038/01/12 02:19:09 AM,91599.71,88058.65,81736.88,261395.25
68118,2038/01/12 02:34:10 AM,91599.77,88058.66,81736.90,261395.34
68119,2038/01/12 02:49:10 AM,91599.84,88058.68,81736.92,261395.44
68120,2038/01/12 03:04:11 AM,91599.90,88058.69,81736.94,261395.53
68121,2038/01/12 03:19:11 AM,91599.96,88058.70,81736.95,261395.61
68122,2038/01/12 03:34:12 AM,91600.03,88058.72,81736.97,261395.72
68123,2038/01/12 03:49:12 AM,91600.09,88058.74,81736.98,261395.81
68124,2038/01/12 04:04:12 AM,91600.16,88058.76,81736.98,261395.89
68125,2038/01/12 04:19:13 AM,91600.22,88058.78,81736.99,261396.00
68126,2038/01/12 04:34:13 AM,91600.28,88058.79,81737.00,261396.06
68127,2038/01/12 04:49:14 AM,91600.38,88058.84,81737.05,261396.27
68128,2038/01/12 05:04:14 AM,91601.12,88059.55,81737.69,261398.34
68129,2038/01/12 05:19:15 AM,91604.84,88063.10,81740.94,261408.87
68130,2038/01/12 05:34:15 AM,91608.56,88066.63,81744.16,261419.34
68131,2038/01/12 05:49:16 AM,91612.17,88070.06,81747.27,261429.50
68132,2038/01/12 06:04:16 AM,91615.64,88073.37,81750.28,261439.28
68133,2038/01/12 06:19:17 AM,91618.95,88076.56,81753.18,261448.69
68134,2038/01/12 06:34:17 AM,91622.30,88079.81,81756.05,261458.17
68135,2038/01/12 06:49:18 AM,91625.68,88083.12,81758.85,261467.66
68136,2038/01/12 07:04:18 AM,91629.05,88086.41,81761.66,261477.12
68137,2038/01/12 07:19:19 AM,91632.41,88089.70,81764.48,261486.59
68138,2038/01/12 07:34:19 AM,91635.78,88093.01,81767.30,261496.08
68139,2038/01/12 07:49:20 AM,91639.17,88096.33,81770.09,261505.59
68140,2038/01/12 08:04:20 AM,91642.59,88099.66,81772.99,261515.25
68141,2038/01/12 08:19:21 AM,91646.09,88103.03,81776.07,261525.19
68142,2038/01/12 08:34:21 AM,91649.70,88106.45,81779.24,261535.37
68143,2038/01/12 08:49:22 AM,91653.33,88109.87,81782.43,261545.62
68144,2038/01/12 09:04:22 AM,91656.98,88113.30,81785.61,261555.89
68145,2038/01/12 09:19:23 AM,91660.02,88116.27,81788.33,261564.61
68146,2038/01/12 09:34:23 AM,91660.88,88117.05,81789.02,261566.95
68147,2038/01/12 09:49:24 AM,91661.60,88117.75,81789.62,261568.97
68148,2038/01/12 10:04:24 AM,91662.27,88118.39,81790.20,261570.86
68149,2038/01/12 10:19:25 AM,91662.95,88119.05,81790.79,261572.78
68150,2038/01/12 10:34:25 AM,91663.61,88119.70,81791.37,261574.69
68151,2038/01/12 10:49:26 AM,91664.27,88120.34,81791.95,261576.56
68152,2038/01/12 11:04:26 AM,91664.94,88120.99,81792.52,261578.47
68153,2038/01/12 11:19:27 AM,91665.60,88121.64,81793.11,261580.36
68154,2038/01/12 11:34:27 AM,91666.27,88122.29,81793.69,261582.25
68155,2038/01/12 11:49:28 AM,91666.93,88122.94,81794.27,261584.16
68156,2038/01/12 12:04:28 PM,91667.59,88123.59,81794.86,261586.03
68157,2038/01/12 12:19:28 PM,91668.25,88124.23,81795.45,261587.94
68158,2038/01/12 12:34:29 PM,91668.91,88124.88,81796.03,261589.83
68159,2038/01/12 12:49:29 PM,91669.59,88125.54,81796.62,261591.75
68160,2038/01/12 01:04:30 PM,91670.25,88126.19,81797.20,261593.64
68161,2038/01/12 01:19:30 PM,91670.91,88126.84,81797.79,261595.53
68162,2038/01/12 01:34:31 PM,91671.57,88127.51,81798.37,261597.44
68163,2038/01/12 01:49:31 PM,91672.23,88128.16,81798.95,261599.36
68164,2038/01/12 02:04:32 PM,91672.89,88128.83,81799.54,261601.25
68165,2038/01/12 02:19:32 PM,91673.55,88129.48,81800.12,261603.16
68166,2038/01/12 02:34:33 PM,91674.21,88130.14,81800.71,261605.06
68167,2038/01/12 02:49:33 PM,91674.87,88130.80,81801.30,261606.95
68168,2038/01/12 03:04:34 PM,91675.52,88131.45,81801.87,261608.84
68169,2038/01/12 03:19:34 PM,91676.18,88132.10,81802.46,261610.75
68170,2038/01/12 03:34:35 PM,91676.84,88132.76,81803.04,261612.62
68171,2038/01/12 03:49:35 PM,91677.51,88133.41,81803.63,261614.56
68172,2038/01/12 04:04:36 PM,91678.20,88134.07,81804.23,261616.52
68173,2038/01/12 04:19:36 PM,91678.91,88134.73,81804.84,261618.48
68174,2038/01/12 04:34:37 PM,91679.60,88135.39,81805.45,261620.44
68175,2038/01/12 04:49:37 PM,91680.30,88136.05,81806.05,261622.41
68176,2038/01/12 05:04:38 PM,91681.01,88136.70,81806.66,261624.37
68177,2038/01/12 05:19:38 PM,91681.71,88137.37,81807.27,261626.34
68178,2038/01/12 05:34:39 PM,91682.41,88138.02,81807.87,261628.31
68179,2038/01/12 05:49:39 PM,91683.12,88138.68,81808.47,261630.27
68180,2038/01/12 06:04:40 PM,91683.82,88139.34,81809.07,261632.22
68181,2038/01/12 06:19:40 PM,91684.52,88140.00,81809.68,261634.22
68182,2038/01/12 06:34:41 PM,91686.49,88141.90,81811.41,261639.81
68183,2038/01/12 06:49:41 PM,91691.02,88146.06,81815.44,261652.53
68184,2038/01/12 07:04:42 PM,91696.07,88150.73,81819.99,261666.81
68185,2038/01/12 07:19:42 PM,91700.82,88155.08,81824.26,261680.16
68186,2038/01/12 07:34:43 PM,91705.40,88159.29,81828.35,261693.03
68187,2038/01/12 07:49:43 PM,91709.84,88163.38,81832.33,261705.55
68188,2038/01/12 08:04:44 PM,91714.21,88167.41,81836.27,261717.91
68189,2038/01/12 08:19:44 PM,91718.62,88171.41,81840.28,261730.31
68190,2038/01/12 08:34:45 PM,91722.98,88175.39,81844.23,261742.59
68191,2038/01/12 08:49:45 PM,91727.35,88179.35,81848.18,261754.87
68192,2038/01/12 09:04:46 PM,91731.74,88183.33,81852.10,261767.16
68193,2038/01/12 09:19:46 PM,91736.05,88187.28,81856.02,261779.34
68194,2038/01/12 09:34:47 PM,91740.32,88191.24,81859.88,261791.44
68195,2038/01/12 09:49:47 PM,91744.61,88195.23,81863.75,261803.59
68196,2038/01/12 10:04:48 PM,91748.89,88199.24,81867.62,261815.75
68197,2038/01/12 10:19:48 PM,91753.23,88203.29,81871.55,261828.08
68198,2038/01/12 10:34:48 PM,91757.71,88207.43,81875.58,261840.72
68199,2038/01/12 10:49:49 PM,91762.34,88211.73,81879.72,261853.78
68200,2038/01/12 11:04:49 PM,91767.16,88216.20,81884.05,261867.39
68201,2038/01/12 11:19:50 PM,91772.09,88220.71,81888.52,261881.31
68202,2038/01/12 11:34:50 PM,91775.91,88224.34,81891.85,261892.09
68203,2038/01/12 11:49:51 PM,91776.28,88224.65,81892.14,261893.08
68204,2038/01/13 12:04:51 AM,91776.34,88224.66,81892.16,261893.16
68205,2038/01/13 12:19:52 AM,91776.64,88224.88,81892.32,261893.84
68206,2038/01/13 12:34:52 AM,91776.73,88224.91,81892.34,261893.97
68207,2038/01/13 12:49:53 AM,91776.81,88224.93,81892.37,261894.12
68208,2038/01/13 01:04:53 AM,91776.89,88224.95,81892.38,261894.22
68209,2038/01/13 01:19:54 AM,91776.95,88224.96,81892.39,261894.30
68210,2038/01/13 01:34:54 AM,91777.02,88224.98,81892.40,261894.41
68211,2038/01/13 01:49:55 AM,91777.08,88224.98,81892.41,261894.47
68212,2038/01/13 02:04:55 AM,91777.13,88225.00,81892.42,261894.55
68213,2038/01/13 02:19:56 AM,91777.20,88225.02,81892.43,261894.66
68214,2038/01/13 02:34:56 AM,91777.26,88225.03,81892.44,261894.72
68215,2038/01/13 02:49:57 AM,91777.32,88225.05,81892.45,261894.81
68216,2038/01/13 03:04:57 AM,91777.39,88225.06,81892.45,261894.91
68217,2038/01/13 03:19:58 AM,91777.84,88225.46,81892.84,261896.16
68218,2038/01/13 03:34:58 AM,91778.55,88226.10,81893.45,261898.11
68219,2038/01/13 03:49:59 AM,91779.24,88226.73,81894.06,261900.03
68220,2038/01/13 04:04:59 AM,91779.95,88227.37,81894.67,261901.98
68221,2038/01/13 04:20:00 AM,91780.62,88228.01,81895.27,261903.91
68222,2038/01/13 04:35:00 AM,91783.38,88230.70,81897.66,261911.75
68223,2038/01/13 04:50:01 AM,91788.23,88235.20,81901.85,261925.28
68224,2038/01/13 05:05:01 AM,91793.06,88239.78,81906.02,261938.87
68225,2038/01/13 05:20:02 AM,91797.76,88244.19,81909.92,261951.86
68226,2038/01/13 05:35:02 AM,91802.30,88248.41,81913.80,261964.52
68227,2038/01/13 05:50:03 AM,91806.66,88252.49,81917.65,261976.81
68228,2038/01/13 06:05:03 AM,91811.02,88256.46,81921.54,261989.03
68229,2038/01/13 06:20:03 AM,91815.83,88260.90,81925.90,262002.62
68230,2038/01/13 06:35:04 AM,91820.77,88265.51,81930.32,262016.59
68231,2038/01/13 06:50:04 AM,91825.73,88270.10,81934.75,262030.59
68232,2038/01/13 07:05:05 AM,91830.65,88274.70,81939.15,262044.50
68233,2038/01/13 07:20:05 AM,91835.62,88279.29,81943.60,262058.50
68234,2038/01/13 07:35:06 AM,91840.62,88283.99,81947.85,262072.47
68235,2038/01/13 07:50:06 AM,91845.60,88288.84,81951.95,262086.39
68236,2038/01/13 08:05:07 AM,91850.52,88293.48,81956.27,262100.28
68237,2038/01/13 08:20:07 AM,91855.48,88298.20,81960.66,262114.34
68238,2038/01/13 08:35:08 AM,91860.53,88303.08,81965.17,262128.78
68239,2038/01/13 08:50:08 AM,91865.75,88308.09,81969.86,262143.70
68240,2038/01/13 09:05:09 AM,91871.15,88313.24,81974.72,262159.12
68241,2038/01/13 09:20:09 AM,91876.56,88318.41,81979.50,262174.47
68242,2038/01/13 09:35:10 AM,91880.22,88322.05,81982.70,262184.97
68243,2038/01/13 09:50:10 AM,91880.52,88322.27,81982.86,262185.66
68244,2038/01/13 10:05:11 AM,91880.59,88322.29,81982.87,262185.75
68245,2038/01/13 10:20:11 AM,91880.66,88322.32,81982.88,262185.87
68246,2038/01/13 10:35:12 AM,91880.73,88322.34,81982.89,262185.94
68247,2038/01/13 10:50:12 AM,91880.79,88322.35,81982.90,262186.03
68248,2038/01/13 11:05:13 AM,91880.86,88322.37,81982.91,262186.12
68249,2038/01/13 11:20:13 AM,91880.92,88322.39,81982.91,262186.22
68250,2038/01/13 11:35:14 AM,91880.98,88322.41,81982.91,262186.31
68251,2038/01/13 11:50:14 AM,91881.05,88322.43,81982.92,262186.37
68252,2038/01/13 12:05:15 PM,91881.11,88322.45,81982.92,262186.50
68253,2038/01/13 12:20:15 PM,91881.17,88322.47,81982.93,262186.56
68254,2038/01/13 12:35:16 PM,91881.23,88322.48,81982.94,262186.66
68255,2038/01/13 12:50:16 PM,91881.30,88322.50,81982.94,262186.75
68256,2038/01/13 01:05:17 PM,91881.36,88322.52,81982.95,262186.81
68257,2038/01/13 01:20:17 PM,91881.42,88322.54,81982.95,262186.94
68258,2038/01/13 01:35:18 PM,91881.48,88322.56,81982.96,262187.00
68259,2038/01/13 01:50:18 PM,91881.55,88322.58,81982.97,262187.09
68260,2038/01/13 02:05:19 PM,91881.62,88322.59,81982.97,262187.19
68261,2038/01/13 02:20:19 PM,91881.84,88322.77,81983.12,262187.75
68262,2038/01/13 02:35:20 PM,91882.53,88323.45,81983.73,262189.72
68263,2038/01/13 02:50:20 PM,91883.20,88324.12,81984.33,262191.62
68264,2038/01/13 03:05:21 PM,91883.88,88324.78,81984.92,262193.56
68265,2038/01/13 03:20:21 PM,91884.56,88325.45,81985.52,262195.50
68266,2038/01/13 03:35:22 PM,91887.23,88328.00,81987.80,262203.03
68267,2038/01/13 03:50:22 PM,91892.09,88332.41,81992.02,262216.50
68268,2038/01/13 04:05:23 PM,91897.13,88336.97,81996.40,262230.50
68269,2038/01/13 04:20:23 PM,91901.96,88341.32,82000.52,262243.81
68270,2038/01/13 04:35:23 PM,91906.65,88345.52,82004.51,262256.66
68271,2038/01/13 04:50:24 PM,91911.17,88349.59,82008.36,262269.12
68272,2038/01/13 05:05:24 PM,91915.62,88353.60,82012.20,262281.41
68273,2038/01/13 05:20:25 PM,91920.05,88357.62,82016.03,262293.69
68274,2038/01/13 05:35:25 PM,91924.45,88361.64,82019.88,262305.97
68275,2038/01/13 05:50:26 PM,91928.83,88365.66,82023.66,262318.16
