Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
68022,2025/03/02 05:07:41 AM,258375.70,230761.98,261431.59,750569.25
68023,2025/03/02 05:22:41 AM,258375.72,230762.00,261431.73,750569.44
68024,2025/03/02 05:37:42 AM,258375.72,230762.02,261431.87,750569.62
68025,2025/03/02 05:52:42 AM,258375.72,230762.02,261432.00,750569.75
68026,2025/03/02 06:07:43 AM,258375.72,230762.03,261432.14,750569.87
68027,2025/03/02 06:22:43 AM,258375.73,230762.05,261432.28,750570.06
68028,2025/03/02 06:37:44 AM,258375.73,230762.05,261432.42,750570.19
68029,2025/03/02 06:52:44 AM,258375.73,230762.06,261432.55,750570.37
68030,2025/03/02 07:07:45 AM,258375.75,230762.08,261432.69,750570.50
68031,2025/03/02 07:22:45 AM,258375.78,230762.11,261432.86,750570.75
68032,2025/03/02 07:37:45 AM,258375.78,230762.12,261432.98,750570.87
68033,2025/03/02 07:52:46 AM,258375.80,230762.14,261433.12,750571.06
68034,2025/03/02 08:07:46 AM,258375.80,230762.16,261433.27,750571.19
68035,2025/03/02 08:22:47 AM,258375.81,230762.17,261433.41,750571.37
68036,2025/03/02 08:37:47 AM,258375.81,230762.17,261433.55,750571.56
68037,2025/03/02 08:52:48 AM,258375.87,230762.23,261433.75,750571.87
68038,2025/03/02 09:07:48 AM,258375.89,230762.25,261433.91,750572.00
68039,2025/03/02 09:22:49 AM,258375.91,230762.27,261434.06,750572.25
68040,2025/03/02 09:37:49 AM,258376.59,230762.89,261434.91,750574.37
68041,2025/03/02 09:52:50 AM,258384.56,230770.36,261442.97,750597.87
68042,2025/03/02 10:07:50 AM,258395.87,230780.69,261454.28,750630.87
68043,2025/03/02 10:22:51 AM,258418.56,230798.41,261476.23,750693.19
68044,2025/03/02 10:37:51 AM,258438.97,230817.77,261495.48,750752.25
68045,2025/03/02 10:52:52 AM,258461.23,230835.14,261516.67,750813.06
68046,2025/03/02 11:07:52 AM,258485.50,230853.47,261539.83,750878.81
68047,2025/03/02 11:22:53 AM,258509.16,230871.27,261562.44,750942.87
68048,2025/03/02 11:37:53 AM,258531.94,230889.16,261584.22,751005.31
68049,2025/03/02 11:52:54 AM,258555.33,230906.86,261606.59,751068.75
68050,2025/03/02 12:07:54 PM,258579.86,230925.67,261630.03,751135.56
68051,2025/03/02 12:22:55 PM,258590.97,230935.34,261641.09,751167.37
68052,2025/03/02 12:37:55 PM,258599.66,230943.45,261650.06,751193.19
68053,2025/03/02 12:52:56 PM,258608.17,230951.37,261658.78,751218.37
68054,2025/03/02 01:07:56 PM,258616.77,230959.31,261667.58,751243.62
68055,2025/03/02 01:22:57 PM,258625.75,230967.67,261676.75,751270.19
68056,2025/03/02 01:37:57 PM,258634.58,230975.78,261685.75,751296.12
68057,2025/03/02 01:52:58 PM,258643.33,230983.81,261694.66,751321.75
68058,2025/03/02 02:07:58 PM,258652.25,230992.09,261703.80,751348.12
68059,2025/03/02 02:22:59 PM,258661.56,231000.80,261713.31,751375.69
68060,2025/03/02 02:37:59 PM,258671.81,231010.56,261723.84,751406.25
68061,2025/03/02 02:53:00 PM,258682.37,231020.62,261734.69,751437.69
68062,2025/03/02 03:08:00 PM,258693.37,231031.05,261745.92,751470.37
68063,2025/03/02 03:23:01 PM,258704.59,231041.73,261757.45,751503.75
68064,2025/03/02 03:38:01 PM,258715.47,231051.97,261768.56,751536.00
68065,2025/03/02 03:53:02 PM,258726.44,231062.25,261779.75,751568.44
68066,2025/03/02 04:08:02 PM,258737.25,231072.41,261790.83,751600.50
68067,2025/03/02 04:23:02 PM,258744.59,231079.39,261798.47,751622.50
68068,2025/03/02 04:38:03 PM,258746.72,231081.61,261800.78,751629.12
68069,2025/03/02 04:53:03 PM,258746.75,231081.62,261800.91,751629.25
68070,2025/03/02 05:08:04 PM,258746.77,231081.64,261801.03,751629.44
68071,2025/03/02 05:23:04 PM,258746.78,231081.64,261801.16,751629.62
68072,2025/03/02 05:38:05 PM,258746.78,231081.66,261801.28,751629.75
68073,2025/03/02 05:53:05 PM,258746.80,231081.66,261801.42,751629.87
68074,2025/03/02 06:08:06 PM,258746.84,231081.70,261801.58,751630.12
68075,2025/03/02 06:23:06 PM,258746.86,231081.70,261801.70,751630.25
68076,2025/03/02 06:38:07 PM,258746.87,231081.72,261801.83,751630.44
68077,2025/03/02 06:53:07 PM,258746.89,231081.73,261801.97,751630.62
68078,2025/03/02 07:08:08 PM,258746.89,231081.73,261802.09,751630.75
68079,2025/03/02 07:23:08 PM,258746.91,231081.75,261802.22,751630.87
68080,2025/03/02 07:38:09 PM,258746.92,231081.77,261802.36,751631.06
68081,2025/03/02 07:53:09 PM,258746.97,231081.81,261802.52,751631.31
68082,2025/03/02 08:08:10 PM,258747.00,231081.81,261802.67,751631.50
68083,2025/03/02 08:23:10 PM,258747.02,231081.83,261802.81,751631.62
68084,2025/03/02 08:38:11 PM,258747.03,231081.84,261802.97,751631.87
68085,2025/03/02 08:53:11 PM,258747.08,231081.86,261803.16,751632.12
68086,2025/03/02 09:08:12 PM,258748.23,231082.92,261804.47,751635.62
68087,2025/03/02 09:23:12 PM,258756.39,231090.45,261812.69,751659.50
68088,2025/03/02 09:38:13 PM,258789.34,231123.14,261846.66,751759.12
68089,2025/03/02 09:53:13 PM,258827.06,231163.64,261888.20,751878.87
68090,2025/03/02 10:08:14 PM,258864.75,231204.69,261929.44,751998.87
68091,2025/03/02 10:23:14 PM,258891.08,231231.31,261956.81,752079.19
68092,2025/03/02 10:38:15 PM,258900.22,231239.75,261966.05,752106.00
68093,2025/03/02 10:53:15 PM,258909.05,231247.81,261974.98,752131.87
68094,2025/03/02 11:08:16 PM,258918.09,231256.23,261984.14,752158.44
68095,2025/03/02 11:23:16 PM,258926.67,231264.09,261992.83,752183.56
68096,2025/03/02 11:38:17 PM,258935.86,231272.61,262002.14,752210.62
68097,2025/03/02 11:53:17 PM,258944.58,231280.66,262010.91,752236.12
68098,2025/03/03 12:08:18 AM,258953.45,231288.86,262019.84,752262.12
68099,2025/03/03 12:23:18 AM,258962.56,231297.33,262029.06,752288.94
68100,2025/03/03 12:38:19 AM,258972.50,231306.72,262039.05,752318.25
